Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
AT1G14687	ZF-HD	MP00143	Arabidopsis thaliana	DAP	PMID:27203113	AT1G14687
AT1G15720	MYB_related	MP00052	Arabidopsis thaliana	PBM	PMID:25215497	M1316_1.02
AT1G16490	MYB	MP00144	Arabidopsis thaliana	DAP	PMID:27203113	AT1G16490
AT1G17950	MYB	MP00145	Arabidopsis thaliana	DAP	PMID:27203113	AT1G17950
AT1G18330	MYB_related	MP00146	Arabidopsis thaliana	DAP	PMID:27203113	AT1G18330
AT1G18570	MYB	MP00147	Arabidopsis thaliana	DAP	PMID:27203113	AT1G18570
AT1G18960	MYB_related	MP00148	Arabidopsis thaliana	DAP	PMID:27203113	AT1G18960
AT1G19000	MYB_related	MP00149	Arabidopsis thaliana	DAP	PMID:27203113	AT1G19000
AT1G19040	NAC	MP00150	Arabidopsis thaliana	DAP	PMID:27203113	AT1G19040
AT1G19210	ERF	MP00151	Arabidopsis thaliana	DAP	PMID:27203113	AT1G19210
AT1G19350	BES1	MP00073	Arabidopsis thaliana	ChIP-chip	PMID:26531826	MA0549.1
AT1G19790	SRS	MP00152	Arabidopsis thaliana	DAP	PMID:27203113	AT1G19790
AT1G19850	ARF	MP00153	Arabidopsis thaliana	DAP	PMID:27203113	AT1G19850
AT1G20640	Nin-like	MP00154	Arabidopsis thaliana	DAP	PMID:27203113	AT1G20640
AT1G20980	SBP	MP00155	Arabidopsis thaliana	DAP	PMID:27203113	AT1G20980
AT1G21910	ERF	MP00156	Arabidopsis thaliana	DAP	PMID:27203113	AT1G21910
AT1G22070	bZIP	MP00157	Arabidopsis thaliana	DAP	PMID:27203113	AT1G22070
AT1G22640	MYB	MP00053	Arabidopsis thaliana	PBM	PMID:25215497	M1319_1.02
AT1G22810	ERF	MP00158	Arabidopsis thaliana	DAP	PMID:27203113	AT1G22810
AT1G24260	MIKC_MADS	MP00605	Arabidopsis thaliana	ChIP-seq	SRA:SRX004990	SRX004990
AT1G25340	MYB	MP00159	Arabidopsis thaliana	DAP	PMID:27203113	AT1G25340
AT1G25550	G2-like	MP00160	Arabidopsis thaliana	DAP	PMID:27203113	AT1G25550
AT1G25560	RAV	MP00024	Arabidopsis thaliana	PBM	PMID:25215497	M0008_1.02
AT1G27360	SBP	MP00161	Arabidopsis thaliana	DAP	PMID:27203113	AT1G27360
AT1G27730	C2H2	MP00162	Arabidopsis thaliana	DAP	PMID:27203113	AT1G27730
AT1G28160	ERF	MP00163	Arabidopsis thaliana	DAP	PMID:27203113	AT1G28160
AT1G28300	B3	MP00032	Arabidopsis thaliana	PBM	PMID:25215497	M0146_1.02
AT1G28360	ERF	MP00645	Arabidopsis thaliana	PBM	PlantTFDB	transfer from LOC_Os05g41760(Oryza sativa subsp. japonica)
AT1G28370	ERF	MP00164	Arabidopsis thaliana	DAP	PMID:27203113	AT1G28370
AT1G28470	NAC	MP00165	Arabidopsis thaliana	DAP	PMID:27203113	AT1G28470
AT1G29160	Dof	MP00166	Arabidopsis thaliana	DAP	PMID:27203113	AT1G29160
AT1G29280	WRKY	MP00167	Arabidopsis thaliana	DAP	PMID:27203113	AT1G29280
AT1G29860	WRKY	MP00168	Arabidopsis thaliana	DAP	PMID:27203113	AT1G29860
AT1G30210	TCP	MP00169	Arabidopsis thaliana	DAP	PMID:27203113	AT1G30210
AT1G30490	HD-ZIP	MP00170	Arabidopsis thaliana	DAP	PMID:27203113	AT1G30490
AT1G30650	WRKY	MP00171	Arabidopsis thaliana	DAP	PMID:27203113	AT1G30650
AT1G31140	MIKC_MADS	MP00172	Arabidopsis thaliana	DAP	PMID:27203113	AT1G31140
AT1G32150	bZIP	MP00173	Arabidopsis thaliana	DAP	PMID:27203113	AT1G32150
AT1G32240	G2-like	MP00174	Arabidopsis thaliana	DAP	PMID:27203113	AT1G32240
AT1G32510	NAC	MP00175	Arabidopsis thaliana	DAP	PMID:27203113	AT1G32510
AT1G32640	bHLH	MP00084	Arabidopsis thaliana	PBM	PMID:26531826	MA0566.1
AT1G32770	NAC	MP00016	Arabidopsis thaliana	PBM	PMID:25378322	SND1
AT1G32870	NAC	MP00176	Arabidopsis thaliana	DAP	PMID:27203113	AT1G32870
AT1G33240	Trihelix	MP00177	Arabidopsis thaliana	DAP	PMID:27203113	AT1G33240
AT1G34180	NAC	MP00178	Arabidopsis thaliana	DAP	PMID:27203113	AT1G34180
AT1G34190	NAC	MP00179	Arabidopsis thaliana	DAP	PMID:27203113	AT1G34190
AT1G34370	C2H2	MP00196	Arabidopsis thaliana	ampDAP	PMID:27203113	AT1G34370
AT1G34670	MYB	MP00180	Arabidopsis thaliana	DAP	PMID:27203113	AT1G34670
AT1G35460	bHLH	MP00181	Arabidopsis thaliana	DAP	PMID:27203113	AT1G35460
AT1G35560	TCP	MP00614	Arabidopsis thaliana	PBM	PMID:24477691	TCP23
AT1G36060	ERF	MP00182	Arabidopsis thaliana	DAP	PMID:27203113	AT1G36060
AT1G42990	bZIP	MP00019	Arabidopsis thaliana	PBM	PMID:24477691	bZIP60
AT1G43160	ERF	MP00183	Arabidopsis thaliana	DAP	PMID:27203113	AT1G43160
AT1G43700	bZIP	MP00184	Arabidopsis thaliana	DAP	PMID:27203113	AT1G43700
AT1G44830	ERF	MP00185	Arabidopsis thaliana	DAP	PMID:27203113	AT1G44830
AT1G45249	bZIP	MP00186	Arabidopsis thaliana	DAP	PMID:27203113	AT1G45249
AT1G46264	HSF	MP00187	Arabidopsis thaliana	DAP	PMID:27203113	AT1G46264
AT1G46768	ERF	MP00188	Arabidopsis thaliana	DAP	PMID:27203113	AT1G46768
AT1G47655	Dof	MP00189	Arabidopsis thaliana	DAP	PMID:27203113	AT1G47655
AT1G47870	E2F/DP	MP00190	Arabidopsis thaliana	DAP	PMID:27203113	AT1G47870
AT1G49010	MYB	MP00191	Arabidopsis thaliana	DAP	PMID:27203113	AT1G49010
AT1G49480	B3	MP00192	Arabidopsis thaliana	DAP	PMID:27203113	AT1G49480
AT1G49560	G2-like	MP00193	Arabidopsis thaliana	DAP	PMID:27203113	AT1G49560
AT1G49720	bZIP	MP00087	Arabidopsis thaliana	SELEX	PMID:26531826	MA0570.1
AT1G49950	MYB_related	MP00607	Arabidopsis thaliana	ChIP-seq	SRA:SRX1044956	SRX1044956
AT1G50640	ERF	MP00194	Arabidopsis thaliana	DAP	PMID:27203113	AT1G50640
AT1G51140	bHLH	MP00195	Arabidopsis thaliana	DAP	PMID:27203113	AT1G51140
AT1G51220	C2H2	MP00197	Arabidopsis thaliana	DAP	PMID:27203113	AT1G51220
AT1G51600	GATA	MP00198	Arabidopsis thaliana	DAP	PMID:27203113	AT1G51600
AT1G51700	Dof	MP00199	Arabidopsis thaliana	DAP	PMID:27203113	AT1G51700
AT1G52150	HD-ZIP	MP00200	Arabidopsis thaliana	DAP	PMID:27203113	AT1G52150
AT1G52880	NAC	MP00201	Arabidopsis thaliana	DAP	PMID:27203113	AT1G52880
AT1G52890	NAC	MP00012	Arabidopsis thaliana	PBM	PMID:25378322	ANAC019
AT1G53160	SBP	MP00634	Arabidopsis thaliana	PBM	PlantTFDB	transfer from PK22320.1(Cannabis sativa)
AT1G53170	ERF	MP00202	Arabidopsis thaliana	DAP	PMID:27203113	AT1G53170
AT1G53230	TCP	MP00203	Arabidopsis thaliana	DAP	PMID:27203113	AT1G53230
AT1G53910	ERF	MP00204	Arabidopsis thaliana	DAP	PMID:27203113	AT1G53910
AT1G54330	NAC	MP00205	Arabidopsis thaliana	DAP	PMID:27203113	AT1G54330
AT1G55110	C2H2	MP00206	Arabidopsis thaliana	DAP	PMID:27203113	AT1G55110
AT1G59640	bHLH	MP00207	Arabidopsis thaliana	DAP	PMID:27203113	AT1G59640
AT1G59750	ARF	MP00097	Arabidopsis thaliana	PBM	PMID:26531826	MA0942.1
AT1G60920	M-type_MADS	MP00208	Arabidopsis thaliana	DAP	PMID:27203113	AT1G60920
AT1G61110	NAC	MP00058	Arabidopsis thaliana	PBM	PMID:25215497	M1400_1.02
AT1G62300	WRKY	MP00209	Arabidopsis thaliana	DAP	PMID:27203113	AT1G62300
AT1G63030	ERF	MP00104	Arabidopsis thaliana	PBM	PMID:26531826	MA0978.1
AT1G64620	Dof	MP00210	Arabidopsis thaliana	DAP	PMID:27203113	AT1G64620
AT1G65620	LBD	MP00211	Arabidopsis thaliana	DAP	PMID:27203113	AT1G65620
AT1G65910	NAC	MP00212	Arabidopsis thaliana	DAP	PMID:27203113	AT1G65910
AT1G66370	MYB	MP00213	Arabidopsis thaliana	DAP	PMID:27203113	AT1G66370
AT1G66420	GeBP	MP00214	Arabidopsis thaliana	DAP	PMID:27203113	AT1G66420
AT1G66600	WRKY	MP00066	Arabidopsis thaliana	PBM	PMID:25215497	M1679_1.02
AT1G67260	TCP	MP00215	Arabidopsis thaliana	DAP	PMID:27203113	AT1G67260
AT1G67710	ARR-B	MP00010	Arabidopsis thaliana	PBM	PMID:24477691	ARR11
AT1G68200	C3H	MP00383	Arabidopsis thaliana	ampDAP	PMID:27203113	AT1G68200
AT1G68320	MYB	MP00216	Arabidopsis thaliana	DAP	PMID:27203113	AT1G68320
AT1G68550	ERF	MP00217	Arabidopsis thaliana	DAP	PMID:27203113	AT1G68550
AT1G68670	G2-like	MP00218	Arabidopsis thaliana	DAP	PMID:27203113	AT1G68670
AT1G68840	RAV	MP00025	Arabidopsis thaliana	PBM	PMID:25215497	M0013_1.02
AT1G69010	bHLH	MP00219	Arabidopsis thaliana	DAP	PMID:27203113	AT1G69010
AT1G69120	MIKC_MADS	MP00096	Arabidopsis thaliana	ChIP-seq	PMID:26531826	MA0940.1
AT1G69180	YABBY	MP00220	Arabidopsis thaliana	DAP	PMID:27203113	AT1G69180
AT1G69310	WRKY	MP00067	Arabidopsis thaliana	PBM	PMID:25215497	M1680_1.02
AT1G69490	NAC	MP00221	Arabidopsis thaliana	DAP	PMID:27203113	AT1G69490
AT1G69560	MYB	MP00222	Arabidopsis thaliana	DAP	PMID:27203113	AT1G69560
AT1G69570	Dof	MP00223	Arabidopsis thaliana	DAP	PMID:27203113	AT1G69570
AT1G69690	TCP	MP00224	Arabidopsis thaliana	DAP	PMID:27203113	AT1G69690
AT1G69780	HD-ZIP	MP00225	Arabidopsis thaliana	DAP	PMID:27203113	AT1G69780
AT1G70000	MYB_related	MP00630	Arabidopsis thaliana	PBM	PlantTFDB	transfer from PK17526.1(Cannabis sativa)
AT1G70920	HD-ZIP	MP00226	Arabidopsis thaliana	DAP	PMID:27203113	AT1G70920
AT1G71450	ERF	MP00227	Arabidopsis thaliana	DAP	PMID:27203113	AT1G71450
AT1G71930	NAC	MP00017	Arabidopsis thaliana	PBM	PMID:25378322	VND7
AT1G72010	TCP	MP00228	Arabidopsis thaliana	DAP	PMID:27203113	AT1G72010
AT1G72050	C2H2	MP00229	Arabidopsis thaliana	DAP	PMID:27203113	AT1G72050
AT1G72360	ERF	MP00230	Arabidopsis thaliana	DAP	PMID:27203113	AT1G72360
AT1G72740	MYB_related	MP00231	Arabidopsis thaliana	DAP	PMID:27203113	AT1G72740
AT1G73360	HD-ZIP	MP00232	Arabidopsis thaliana	DAP	PMID:27203113	AT1G73360
AT1G73730	EIL	MP00233	Arabidopsis thaliana	DAP	PMID:27203113	AT1G73730
AT1G74480	Nin-like	MP00234	Arabidopsis thaliana	DAP	PMID:27203113	AT1G74480
AT1G74650	MYB	MP00235	Arabidopsis thaliana	DAP	PMID:27203113	AT1G74650
AT1G74840	MYB_related	MP00236	Arabidopsis thaliana	DAP	PMID:27203113	AT1G74840
AT1G74930	ERF	MP00601	Arabidopsis thaliana	PBM	PMID:24477691	ORA47
AT1G75080	BES1	MP00237	Arabidopsis thaliana	DAP	PMID:27203113	AT1G75080
AT1G75240	ZF-HD	MP00238	Arabidopsis thaliana	DAP	PMID:27203113	AT1G75240
AT1G75390	bZIP	MP00239	Arabidopsis thaliana	DAP	PMID:27203113	AT1G75390
AT1G75490	ERF	MP00240	Arabidopsis thaliana	DAP	PMID:27203113	AT1G75490
AT1G76420	NAC	MP00241	Arabidopsis thaliana	DAP	PMID:27203113	AT1G76420
AT1G76870	Trihelix	MP00242	Arabidopsis thaliana	DAP	PMID:27203113	AT1G76870
AT1G76880	Trihelix	MP00243	Arabidopsis thaliana	DAP	PMID:27203113	AT1G76880
AT1G76890	Trihelix	MP00244	Arabidopsis thaliana	DAP	PMID:27203113	AT1G76890
AT1G77080	MIKC_MADS	MP00105	Arabidopsis thaliana	ChIP-seq	PMID:26531826	MA1012.1
AT1G77200	ERF	MP00245	Arabidopsis thaliana	DAP	PMID:27203113	AT1G77200
AT1G77640	ERF	MP00246	Arabidopsis thaliana	DAP	PMID:27203113	AT1G77640
AT1G77920	bZIP	MP00247	Arabidopsis thaliana	DAP	PMID:27203113	AT1G77920
AT1G78080	ERF	MP00026	Arabidopsis thaliana	PBM	PMID:25215497	M0016_1.02
AT1G78700	BES1	MP00248	Arabidopsis thaliana	DAP	PMID:27203113	AT1G78700
AT1G79180	MYB	MP00249	Arabidopsis thaliana	DAP	PMID:27203113	AT1G79180
AT1G79580	NAC	MP00250	Arabidopsis thaliana	DAP	PMID:27203113	AT1G79580
AT1G80840	WRKY	MP00251	Arabidopsis thaliana	DAP	PMID:27203113	AT1G80840
AT2G01060	G2-like	MP00252	Arabidopsis thaliana	DAP	PMID:27203113	AT2G01060
AT2G01570	GRAS	MP00611	Arabidopsis thaliana	ChIP-seq	SRA:SRX647776	SRX647776
AT2G01760	ARR-B	MP00098	Arabidopsis thaliana	PBM	PMID:26531826	MA0947.1
AT2G01930	BBR-BPC	MP00253	Arabidopsis thaliana	DAP	PMID:27203113	AT2G01930
AT2G01940	C2H2	MP00254	Arabidopsis thaliana	DAP	PMID:27203113	AT2G01940
AT2G02070	C2H2	MP00255	Arabidopsis thaliana	DAP	PMID:27203113	AT2G02070
AT2G02080	C2H2	MP00256	Arabidopsis thaliana	DAP	PMID:27203113	AT2G02080
AT2G02450	NAC	MP00257	Arabidopsis thaliana	DAP	PMID:27203113	AT2G02450
AT2G02540	ZF-HD	MP00258	Arabidopsis thaliana	DAP	PMID:27203113	AT2G02540
AT2G02820	MYB	MP00259	Arabidopsis thaliana	DAP	PMID:27203113	AT2G02820
AT2G03340	WRKY	MP00260	Arabidopsis thaliana	DAP	PMID:27203113	AT2G03340
AT2G03500	G2-like	MP00261	Arabidopsis thaliana	DAP	PMID:27203113	AT2G03500
AT2G03710	MIKC_MADS	MP00030	Arabidopsis thaliana	SELEX	PMID:16381825	M00392
AT2G04038	bZIP	MP00262	Arabidopsis thaliana	DAP	PMID:27203113	AT2G04038
AT2G04880	WRKY	MP00094	Arabidopsis thaliana	SELEX	PMID:26531826	MA0589.1
AT2G06200	GRF	MP00263	Arabidopsis thaliana	DAP	PMID:27203113	AT2G06200
AT2G15740	C2H2	MP00264	Arabidopsis thaliana	DAP	PMID:27203113	AT2G15740
AT2G17180	C2H2	MP00621	Arabidopsis thaliana	PBM	PMID:24477691	ZAT2
AT2G17950	WOX	MP00265	Arabidopsis thaliana	DAP	PMID:27203113	AT2G17950
AT2G18060	NAC	MP00266	Arabidopsis thaliana	DAP	PMID:27203113	AT2G18060
AT2G18160	bZIP	MP00267	Arabidopsis thaliana	DAP	PMID:27203113	AT2G18160
AT2G18300	bHLH	MP00106	Arabidopsis thaliana	PBM	PMID:26531826	MA1025.1
AT2G18350	ZF-HD	MP00268	Arabidopsis thaliana	DAP	PMID:27203113	AT2G18350
AT2G18380	GATA	MP00110	Arabidopsis thaliana	ampDAP	PMID:27203113	AT2G18380
AT2G20110	CPP	MP00269	Arabidopsis thaliana	DAP	PMID:27203113	AT2G20110
AT2G20180	bHLH	MP00074	Arabidopsis thaliana	ChIP-chip	PMID:26531826	MA0552.1
AT2G20400	G2-like	MP00111	Arabidopsis thaliana	ampDAP	PMID:27203113	AT2G20400
AT2G20570	G2-like	MP00022	Arabidopsis thaliana	PBM	PMID:24477691	GLK1
AT2G21230	bZIP	MP00037	Arabidopsis thaliana	PBM	PMID:25215497	M0260_1.02
AT2G21900	WRKY	MP00270	Arabidopsis thaliana	DAP	PMID:27203113	AT2G21900
AT2G22300	CAMTA	MP00042	Arabidopsis thaliana	PBM	PMID:25215497	M0581_1.02
AT2G22430	HD-ZIP	MP00271	Arabidopsis thaliana	DAP	PMID:27203113	AT2G22430
AT2G22540	MIKC_MADS	MP00272	Arabidopsis thaliana	DAP	PMID:27203113	AT2G22540
AT2G22750	bHLH	MP00273	Arabidopsis thaliana	DAP	PMID:27203113	AT2G22750
AT2G23290	MYB	MP00274	Arabidopsis thaliana	DAP	PMID:27203113	AT2G23290
AT2G23320	WRKY	MP00275	Arabidopsis thaliana	DAP	PMID:27203113	AT2G23320
AT2G23340	ERF	MP00276	Arabidopsis thaliana	DAP	PMID:27203113	AT2G23340
AT2G24260	bHLH	MP00659	Arabidopsis thaliana	PBM	PlantTFDB	transfer from Pp3c14_15890(Physcomitrella patens)
AT2G24430	NAC	MP00277	Arabidopsis thaliana	DAP	PMID:27203113	AT2G24430
AT2G24570	WRKY	MP00278	Arabidopsis thaliana	DAP	PMID:27203113	AT2G24570
AT2G25000	WRKY	MP00068	Arabidopsis thaliana	PBM	PMID:25215497	M1684_1.02
AT2G26960	MYB	MP00279	Arabidopsis thaliana	DAP	PMID:27203113	AT2G26960
AT2G27300	NAC	MP00280	Arabidopsis thaliana	DAP	PMID:27203113	AT2G27300
AT2G28550	AP2	MP00615	Arabidopsis thaliana	PBM	PMID:24477691	TOE1
AT2G28810	Dof	MP00281	Arabidopsis thaliana	DAP	PMID:27203113	AT2G28810
AT2G30250	WRKY	MP00282	Arabidopsis thaliana	DAP	PMID:27203113	AT2G30250
AT2G30340	LBD	MP00283	Arabidopsis thaliana	DAP	PMID:27203113	AT2G30340
AT2G30590	WRKY	MP00284	Arabidopsis thaliana	DAP	PMID:27203113	AT2G30590
AT2G31220	bHLH	MP00285	Arabidopsis thaliana	DAP	PMID:27203113	AT2G31220
AT2G31230	ERF	MP00286	Arabidopsis thaliana	DAP	PMID:27203113	AT2G31230
AT2G32460	MYB	MP00287	Arabidopsis thaliana	DAP	PMID:27203113	AT2G32460
AT2G33550	Trihelix	MP00288	Arabidopsis thaliana	DAP	PMID:27203113	AT2G33550
AT2G33710	ERF	MP00289	Arabidopsis thaliana	DAP	PMID:27203113	AT2G33710
AT2G33810	SBP	MP00290	Arabidopsis thaliana	DAP	PMID:27203113	AT2G33810
AT2G33860	ARF	MP00021	Arabidopsis thaliana	PBM	PMID:24477691	ETT
AT2G35530	bZIP	MP00291	Arabidopsis thaliana	DAP	PMID:27203113	AT2G35530
AT2G35700	ERF	MP00292	Arabidopsis thaliana	DAP	PMID:27203113	AT2G35700
AT2G36010	E2F/DP	MP00293	Arabidopsis thaliana	DAP	PMID:27203113	AT2G36010
AT2G36270	bZIP	MP00294	Arabidopsis thaliana	DAP	PMID:27203113	AT2G36270
AT2G36610	HD-ZIP	MP00049	Arabidopsis thaliana	PBM	PMID:25215497	M0844_1.02
AT2G37590	Dof	MP00295	Arabidopsis thaliana	DAP	PMID:27203113	AT2G37590
AT2G38090	MYB	MP00296	Arabidopsis thaliana	DAP	PMID:27203113	AT2G38090
AT2G38300	G2-like	MP00297	Arabidopsis thaliana	DAP	PMID:27203113	AT2G38300
AT2G38340	ERF	MP00298	Arabidopsis thaliana	DAP	PMID:27203113	AT2G38340
AT2G38470	WRKY	MP00299	Arabidopsis thaliana	DAP	PMID:27203113	AT2G38470
AT2G38880	NF-YB	MP00300	Arabidopsis thaliana	DAP	PMID:27203113	AT2G38880
AT2G40220	ERF	MP00674	Arabidopsis thaliana	SELEX	PlantTFDB	transfer from GRMZM2G093595(Zea mays)
AT2G40260	G2-like	MP00301	Arabidopsis thaliana	DAP	PMID:27203113	AT2G40260
AT2G40340	ERF	MP00302	Arabidopsis thaliana	DAP	PMID:27203113	AT2G40340
AT2G40620	bZIP	MP00303	Arabidopsis thaliana	DAP	PMID:27203113	AT2G40620
AT2G40740	WRKY	MP00304	Arabidopsis thaliana	DAP	PMID:27203113	AT2G40740
AT2G41690	HSF	MP00305	Arabidopsis thaliana	DAP	PMID:27203113	AT2G41690
AT2G41835	C2H2	MP00306	Arabidopsis thaliana	DAP	PMID:27203113	AT2G41835
AT2G42200	SBP	MP00307	Arabidopsis thaliana	DAP	PMID:27203113	AT2G42200
AT2G42280	bHLH	MP00308	Arabidopsis thaliana	DAP	PMID:27203113	AT2G42280
AT2G42400	VOZ	MP00018	Arabidopsis thaliana	PBM	PMID:25378322	VOZ2
AT2G42430	LBD	MP00309	Arabidopsis thaliana	DAP	PMID:27203113	AT2G42430
AT2G43000	NAC	MP00310	Arabidopsis thaliana	DAP	PMID:27203113	AT2G43000
AT2G43010	bHLH	MP00606	Arabidopsis thaliana	ChIP-seq	SRA:SRX1005830	SRX1005830
AT2G44745	WRKY	MP00618	Arabidopsis thaliana	PBM	PMID:24477691	WRKY12
AT2G44840	ERF	MP00311	Arabidopsis thaliana	DAP	PMID:27203113	AT2G44840
AT2G44940	ERF	MP00312	Arabidopsis thaliana	DAP	PMID:27203113	AT2G44940
AT2G45190	YABBY	MP00620	Arabidopsis thaliana	PBM	PMID:24477691	YAB1
AT2G45410	LBD	MP00313	Arabidopsis thaliana	DAP	PMID:27203113	AT2G45410
AT2G45420	LBD	MP00314	Arabidopsis thaliana	DAP	PMID:27203113	AT2G45420
AT2G45650	MIKC_MADS	MP00315	Arabidopsis thaliana	DAP	PMID:27203113	AT2G45650
AT2G45660	MIKC_MADS	MP00076	Arabidopsis thaliana	ChIP-chip	PMID:26531826	MA0554.1
AT2G45680	TCP	MP00316	Arabidopsis thaliana	DAP	PMID:27203113	AT2G45680
AT2G46130	WRKY	MP00317	Arabidopsis thaliana	DAP	PMID:27203113	AT2G46130
AT2G46270	bZIP	MP00318	Arabidopsis thaliana	DAP	PMID:27203113	AT2G46270
AT2G46400	WRKY	MP00112	Arabidopsis thaliana	ampDAP	PMID:27203113	AT2G46400
AT2G46510	bHLH	MP00101	Arabidopsis thaliana	PBM	PMID:26531826	MA0959.1
AT2G46590	Dof	MP00319	Arabidopsis thaliana	DAP	PMID:27203113	AT2G46590
AT2G46680	HD-ZIP	MP00320	Arabidopsis thaliana	DAP	PMID:27203113	AT2G46680
AT2G46770	NAC	MP00321	Arabidopsis thaliana	DAP	PMID:27203113	AT2G46770
AT2G46830	MYB_related	MP00103	Arabidopsis thaliana	PBM	PMID:26531826	MA0972.1
AT2G47070	SBP	MP00603	Arabidopsis thaliana	PBM	PMID:24477691	SPL1
AT2G47260	WRKY	MP00069	Arabidopsis thaliana	PBM	PMID:25215497	M1689_1.02
AT2G47460	MYB	MP00627	Arabidopsis thaliana	PBM	PlantTFDB	transfer from PK06182.1(Cannabis sativa)
AT3G01220	HD-ZIP	MP00322	Arabidopsis thaliana	DAP	PMID:27203113	AT3G01220
AT3G01470	HD-ZIP	MP00323	Arabidopsis thaliana	DAP	PMID:27203113	AT3G01470
AT3G01530	MYB	MP00324	Arabidopsis thaliana	DAP	PMID:27203113	AT3G01530
AT3G01970	WRKY	MP00325	Arabidopsis thaliana	DAP	PMID:27203113	AT3G01970
AT3G02150	TCP	MP00326	Arabidopsis thaliana	DAP	PMID:27203113	AT3G02150
AT3G02940	MYB	MP00327	Arabidopsis thaliana	DAP	PMID:27203113	AT3G02940
AT3G02990	HSF	MP00328	Arabidopsis thaliana	DAP	PMID:27203113	AT3G02990
AT3G03200	NAC	MP00329	Arabidopsis thaliana	DAP	PMID:27203113	AT3G03200
AT3G03660	WOX	MP00330	Arabidopsis thaliana	DAP	PMID:27203113	AT3G03660
AT3G04030	G2-like	MP00331	Arabidopsis thaliana	DAP	PMID:27203113	AT3G04030
AT3G04060	NAC	MP00332	Arabidopsis thaliana	DAP	PMID:27203113	AT3G04060
AT3G04070	NAC	MP00333	Arabidopsis thaliana	DAP	PMID:27203113	AT3G04070
AT3G06490	MYB	MP00334	Arabidopsis thaliana	DAP	PMID:27203113	AT3G06490
AT3G06740	GATA	MP00335	Arabidopsis thaliana	DAP	PMID:27203113	AT3G06740
AT3G08500	MYB	MP00336	Arabidopsis thaliana	DAP	PMID:27203113	AT3G08500
AT3G09230	MYB	MP00337	Arabidopsis thaliana	DAP	PMID:27203113	AT3G09230
AT3G09600	MYB_related	MP00338	Arabidopsis thaliana	DAP	PMID:27203113	AT3G09600
AT3G09735	S1Fa-like	MP00339	Arabidopsis thaliana	DAP	PMID:27203113	AT3G09735
AT3G10030	Trihelix	MP00340	Arabidopsis thaliana	DAP	PMID:27203113	AT3G10030
AT3G10113	MYB_related	MP00341	Arabidopsis thaliana	DAP	PMID:27203113	AT3G10113
AT3G10480	NAC	MP00342	Arabidopsis thaliana	DAP	PMID:27203113	AT3G10480
